# A multi-node devnet convergence soak: the contention regime's status samples.
#
# The companion to devnet-convergence-samples.tsv, and the harder question. The
# same four zycordd processes on the dev engine behind the same chaos proxy, but
# EVERY miner mines for the whole run rather than all but one being stopped
# before anything is checked. That is the state a live network is actually in,
# and under it tip agreement is neither expected nor required: two branches of
# equal work are entitled to disagree, and do.
#
# What is required is that every node's history BELOW the reorg horizon is a
# prefix of one chain, checked cumulatively throughout rather than once at the
# end, so a divergence that is created and then reorged away is still caught.
#
# The run: 199 kills, 368 partitions over 50 minutes. It ended
#   history: 744 heights verified to 744 (network reached 1000);
#     3.96 nodes per height on average, 33 heights compared across fewer than 4
#   deepest observed reorg: 3 blocks (horizon 256)
#   billing law: 874 certificate inclusions across 1000 blocks, no duplicates
#   load: 2357 certificates submitted, 2357 accepted
#   liveness: no node died unbidden (11960 state samples)
#
# 744 heights verified with no divergence is the result. The 33 partial
# comparisons are heights where a node was mid-kill and could not answer; they
# are reported rather than hidden, because a run that mostly talked to three
# nodes must not read like one that talked to four.
#
# Latency: trail p50=0, p90=0, p99=1, max=3 blocks across 795 node-samples --
# TIGHTER than the single-miner regime's p99=2/max=11, which is not a claim that
# contention is easier. The machine was under load average 6-19 here against
# 8-47 there, and that difference alone plausibly accounts for it. Do not read
# these two regimes against each other; read each against its own conditions.
#
# On memory, read the FLOOR and not the peak. Node a shows a peak of 183 MB at
# t=1830 and was at 45 MB by the next sample fifteen seconds later; it did the
# same at t=2565, 122 MB down to 40 MB. Both are single-sample transients that
# fully reclaim -- a collection caught mid-cycle. The floor per ten-minute window
# was 15.2, 17.1, 12.6, 22.0, 24.2 MB while the chain grew from height 276 to
# 1000, and it FELL in the middle of that. Threads stayed at 12-13 and
# descriptors at 20 throughout. Nothing here grows without bound.
#
# Columns: seconds since sampling began, node, whether its RPC answered, height,
# blocks behind the highest node, resident memory KB, threads, open descriptors,
# data directory KB, first eight bytes of tip. reachable=false with height 0 is
# a node the harness had killed and not yet restarted.
#
# seconds	node	reachable	height	trail	rss_kb	threads	fds	disk_kb	tip
165	c	true	77	0	17504	11	16	350	0x23ce51718691a2
165	d	true	77	0	17620	11	13	354	0x23ce51718691a2
180	a	true	89	0	17660	11	16	419	0x3ee866ee06dd11
180	b	true	89	0	17404	11	16	421	0x3ee866ee06dd11
180	c	true	89	0	17176	11	15	409	0x3ee866ee06dd11
180	d	true	89	0	17216	11	12	408	0x3ee866ee06dd11
195	a	true	94	0	18096	11	16	451	0x52fb1e84ff20b2
195	b	true	94	0	17588	11	17	453	0x52fb1e84ff20b2
195	c	true	94	0	17688	11	16	440	0x52fb1e84ff20b2
195	d	true	94	0	17360	11	12	440	0x52fb1e84ff20b2
210	a	true	102	0	17956	12	16	492	0x3ad3297c637027
210	b	true	102	0	17604	12	16	496	0x54a1cccb134388
210	c	true	102	0	17456	11	15	481	0x54a1cccb134388
210	d	true	102	0	17532	11	12	481	0x54a1cccb134388
225	a	true	110	0	18140	12	15	539	0xfed16b11456770
225	b	true	110	0	17632	12	15	544	0xfed16b11456770
225	c	true	110	0	17404	11	15	528	0xfed16b11456770
225	d	true	110	0	15372	11	12	531	0xfed16b11456770
240	a	true	120	0	18308	12	14	590	0x29607d4c65d69f
240	b	true	120	0	17912	12	16	595	0x29607d4c65d69f
240	c	true	120	0	17652	11	14	579	0x29607d4c65d69f
240	d	true	120	0	17032	11	12	582	0x29607d4c65d69f
255	a	true	126	0	18052	12	16	620	0xbbba228772bdd0
255	b	true	126	0	17100	11	16	625	0xbbba228772bdd0
255	c	true	126	0	16900	12	15	609	0xbbba228772bdd0
255	d	true	126	0	17120	11	13	612	0xbbba228772bdd0
270	a	true	132	0	15796	10	16	649	0xf0cff91e387016
270	b	true	132	0	17068	11	16	658	0xf0cff91e387016
270	c	true	132	0	17272	12	15	647	0xf0cff91e387016
270	d	true	132	0	17252	11	12	645	0xf0cff91e387016
285	a	true	140	1	17228	11	14	708	0xef5bce60a29443
285	b	true	141	0	17424	11	16	718	0xcf5e0f76d37634
285	c	true	140	1	17184	12	14	697	0xef5bce60a29443
285	d	true	138	3	17276	12	11	690	0x43fced837841b3
300	a	true	145	0	17804	12	16	742	0x5349569478d57f
300	b	true	145	0	17048	11	16	748	0x5349569478d57f
300	c	true	145	0	17596	12	15	731	0x5349569478d57f
300	d	true	144	1	16204	11	12	726	0x900d3f96835bab
315	a	true	152	0	18964	12	17	780	0xa021024eb65b6a
315	b	true	152	0	17540	11	15	786	0xa021024eb65b6a
315	c	true	152	0	18016	12	15	771	0xa021024eb65b6a
315	d	true	152	0	17652	11	12	773	0xa021024eb65b6a
330	a	true	157	0	17932	12	16	812	0x49694c58c9865b
330	b	true	157	0	18084	11	16	817	0x49694c58c9865b
330	c	true	157	0	17116	11	15	803	0x49694c58c9865b
330	d	true	157	0	17288	11	12	805	0x49694c58c9865b
345	a	true	165	0	18128	12	14	851	0xa6bab90c988ab4
345	b	false	0	0	0	0	0	857	
345	c	true	165	0	17472	11	13	848	0xa6bab90c988ab4
345	d	true	165	0	17140	11	11	844	0xa6bab90c988ab4
360	a	true	169	0	18148	12	16	875	0x62d6014c8f4f50
360	b	true	169	0	17992	11	16	880	0x62d6014c8f4f50
360	c	true	169	0	17912	11	16	872	0x62d6014c8f4f50
360	d	true	169	0	17768	11	12	868	0x62d6014c8f4f50
375	a	true	175	0	17964	11	17	916	0x87d192be374fde
375	b	true	175	0	18028	12	16	922	0x87d192be374fde
375	c	true	175	0	17844	11	16	914	0x87d192be374fde
375	d	true	175	0	18224	11	12	910	0x87d192be374fde
390	a	true	182	0	18476	12	16	955	0xdf942a0707dd2c
390	b	true	182	0	18836	12	17	960	0xdf942a0707dd2c
390	c	true	182	0	17756	11	16	952	0xdf942a0707dd2c
390	d	true	182	0	17580	11	12	948	0xdf942a0707dd2c
405	a	true	192	0	18592	12	15	1007	0x577f9d7e21e78e
405	b	true	192	0	18508	12	16	1012	0x577f9d7e21e78e
405	c	true	192	0	18040	11	15	1004	0x577f9d7e21e78e
405	d	true	192	0	18340	11	11	1000	0x577f9d7e21e78e
420	a	true	196	0	16692	11	13	1037	0xdb69fa206cdbc3
420	b	true	196	0	16720	11	15	1039	0xdb69fa206cdbc3
420	c	true	196	0	18740	11	15	1039	0xdb69fa206cdbc3
420	d	true	195	1	17896	11	11	1015	0xb6f4869b2ae8e9
435	a	true	206	0	17124	11	16	1087	0x4167058c99998f
435	b	true	206	0	18508	11	16	1090	0x4167058c99998f
435	c	true	206	0	18432	11	15	1089	0x4167058c99998f
435	d	true	206	0	18516	12	13	1077	0x4167058c99998f
450	a	true	214	0	18416	12	16	1128	0x93b12cbaf695b5
450	b	true	214	0	19096	11	15	1130	0x93b12cbaf695b5
450	c	true	214	0	18300	11	14	1136	0x93b12cbaf695b5
450	d	true	214	0	17480	11	12	1118	0x93b12cbaf695b5
465	a	true	219	1	18964	12	13	1157	0x3b6c25261a925d
465	b	true	220	0	18868	11	16	1166	0x551eb81153273c
465	c	true	220	0	18708	11	14	1172	0x551eb81153273c
465	d	true	219	1	18188	11	11	1147	0x3b6c25261a925d
480	a	true	228	0	18940	12	15	1206	0x721c985f7119e4
480	b	true	228	0	19052	11	16	1208	0x721c985f7119e4
480	c	true	228	0	19008	11	13	1214	0x721c985f7119e4
480	d	true	228	0	18416	12	12	1196	0x721c985f7119e4
495	a	true	235	0	19104	12	15	1243	0xf1df097bf3c2fc
495	b	true	235	0	20080	11	15	1246	0xf1df097bf3c2fc
495	c	true	235	0	18564	11	13	1252	0xf1df097bf3c2fc
495	d	true	235	0	18324	12	12	1233	0xf1df097bf3c2fc
510	a	true	242	0	19012	12	16	1283	0x26fe9307e21fc3
510	b	true	242	0	18888	11	16	1286	0x26fe9307e21fc3
510	c	true	242	0	19412	11	15	1292	0x26fe9307e21fc3
510	d	true	242	0	18712	12	12	1273	0x26fe9307e21fc3
525	a	true	248	0	18292	11	15	1319	0xf1f60c0dd3c770
525	b	true	248	0	19068	11	14	1321	0xf1f60c0dd3c770
525	c	true	248	0	19228	11	15	1327	0xf1f60c0dd3c770
525	d	true	248	0	19516	12	11	1309	0xf1f60c0dd3c770
540	a	true	255	0	19304	11	15	1357	0xa30a7cbe0f20a3
540	b	true	255	0	21140	11	13	1359	0xa30a7cbe0f20a3
540	c	true	255	0	18376	11	14	1367	0xa30a7cbe0f20a3
540	d	true	255	0	18908	12	12	1347	0xa30a7cbe0f20a3
555	a	true	263	0	17612	11	15	1399	0x936bde4599f47a
555	b	true	263	0	19248	11	15	1402	0x936bde4599f47a
555	c	true	263	0	20288	11	15	1410	0x936bde4599f47a
555	d	true	263	0	18796	12	12	1389	0x936bde4599f47a
570	a	true	270	0	19416	11	17	1436	0xfb37c0c8ccc4c0
570	b	true	270	0	17084	11	15	1444	0xfb37c0c8ccc4c0
570	c	true	270	0	19024	11	15	1446	0xfb37c0c8ccc4c0
570	d	true	270	0	18996	12	12	1431	0xfb37c0c8ccc4c0
585	a	true	276	0	19152	11	17	1471	0x5d1198acea8eb1
585	b	true	276	0	19880	12	16	1479	0x5d1198acea8eb1
585	c	true	276	0	18724	11	16	1481	0x5d1198acea8eb1
585	d	true	276	0	18192	11	12	1467	0x5d1198acea8eb1
600	a	false	0	0	0	0	0	1503	
600	b	true	283	1	19444	12	14	1512	0x6dea22a030ca83
600	c	true	284	0	20488	11	13	1526	0x79834b5600722c
600	d	true	283	1	18732	11	12	1500	0x6dea22a030ca83
615	a	true	289	0	19464	11	16	1545	0x616a3ee7608ea2
615	b	true	289	0	17820	11	16	1564	0x616a3ee7608ea2
615	c	true	289	0	20316	11	15	1556	0x616a3ee7608ea2
615	d	true	289	0	19320	12	12	1552	0x616a3ee7608ea2
630	a	true	297	0	19236	12	15	1587	0x59ba6d92f1340a
630	b	true	297	0	17296	11	14	1604	0x59ba6d92f1340a
630	c	true	297	0	19956	11	14	1596	0x59ba6d92f1340a
630	d	true	297	0	19348	12	12	1592	0x59ba6d92f1340a
645	a	true	305	0	22792	12	17	1632	0xccdff6eeb3e9e3
645	b	true	305	0	20696	11	17	1649	0xccdff6eeb3e9e3
645	c	true	304	1	17252	11	15	1634	0x67b57f4c59413d
645	d	true	305	0	19576	12	12	1636	0xccdff6eeb3e9e3
660	a	true	309	0	20280	12	16	1657	0x62e8bbff4e6fe9
660	b	true	309	0	22284	11	16	1674	0x62e8bbff4e6fe9
660	c	true	309	0	18912	11	15	1669	0x62e8bbff4e6fe9
660	d	true	309	0	17064	9	12	1662	0x62e8bbff4e6fe9
675	a	true	316	0	20796	12	15	1691	0xa783e3e4f55eef
675	b	true	316	0	18888	12	13	1708	0xa783e3e4f55eef
675	c	true	316	0	20956	11	14	1703	0xa783e3e4f55eef
675	d	true	316	0	18776	11	12	1696	0xa783e3e4f55eef
690	a	true	324	0	20028	12	16	1736	0x13bea708d40c46
690	b	true	324	0	21200	12	15	1753	0x13bea708d40c46
690	c	true	324	0	23256	11	14	1748	0x13bea708d40c46
690	d	true	324	0	19652	11	12	1741	0x13bea708d40c46
705	a	true	330	0	21328	12	15	1772	0xa6148f36b89a64
705	b	true	330	0	20012	12	13	1789	0xa6148f36b89a64
705	c	true	330	0	19544	11	14	1784	0xa6148f36b89a64
705	d	true	330	0	19500	11	11	1777	0xa6148f36b89a64
720	a	true	336	0	19736	12	15	1804	0xce572daa15153b
720	b	true	336	0	20116	12	15	1826	0xce572daa15153b
720	c	true	336	0	19376	11	13	1821	0xce572daa15153b
720	d	true	336	0	19652	11	12	1808	0xce572daa15153b
735	a	true	346	1	22776	12	14	1852	0x48b7ae98738f2c
735	b	true	347	0	20848	12	16	1887	0x18a9c2f3959770
735	c	true	347	0	21624	11	15	1880	0x3e1eba617dcec4
735	d	true	346	1	20068	11	11	1859	0x48b7ae98738f2c
750	a	true	358	0	19308	11	16	1910	0xb4556630844da1
750	b	true	358	0	25460	12	17	1943	0xb4556630844da1
750	c	true	358	0	19728	11	15	1928	0xb4556630844da1
750	d	true	358	0	20128	11	12	1925	0xb4556630844da1
765	a	true	364	0	25192	11	16	1941	0xdd65a12d09f8a3
765	b	true	364	0	19460	11	17	1974	0xdd65a12d09f8a3
765	c	true	364	0	19612	11	15	1959	0xdd65a12d09f8a3
765	d	true	364	0	20136	11	13	1956	0xdd65a12d09f8a3
780	a	true	369	0	21188	11	16	1978	0x6890e4526bd364
780	b	true	369	0	19920	12	16	2011	0x6890e4526bd364
780	c	true	369	0	20448	11	15	2002	0x6890e4526bd364
780	d	true	369	0	20532	11	12	1993	0x6890e4526bd364
795	a	true	372	1	30276	11	16	2001	0xb96816a1a22266
795	b	true	373	0	26420	12	16	2038	0x8f1c6a92cf9611
795	c	true	373	0	22168	11	15	2035	0x8f1c6a92cf9611
795	d	true	372	1	20712	11	13	2016	0xb96816a1a22266
810	a	true	381	0	20320	11	16	2054	0x390ddeb849562b
810	b	true	381	0	22608	12	17	2079	0x390ddeb849562b
810	c	true	381	0	23032	12	16	2076	0x390ddeb849562b
810	d	true	381	0	20164	11	12	2068	0x390ddeb849562b
825	a	true	389	1	20616	11	16	2098	0xe6722a57965862
825	b	true	389	1	27384	12	16	2123	0xe6722a57965862
825	c	true	390	0	23852	12	15	2123	0x6d023ea32971aa
825	d	true	389	1	18368	11	12	2111	0xe6722a57965862
840	a	true	396	0	25552	11	16	2138	0x3afce36d51a594
840	b	true	396	0	20672	12	17	2163	0x3afce36d51a594
840	c	true	396	0	20740	11	15	2160	0x3afce36d51a594
840	d	true	396	0	19464	11	13	2151	0x3afce36d51a594
855	a	true	405	0	20680	11	14	2183	0xc45fe5da92387e
855	b	true	405	0	17876	10	14	2206	0xc45fe5da92387e
855	c	true	405	0	17496	10	13	2203	0xc45fe5da92387e
855	d	true	405	0	20696	11	12	2195	0xc45fe5da92387e
870	a	true	408	1	33220	11	16	2205	0xa11a7d7c34d45f
870	b	true	409	0	22052	11	15	2235	0x4de6329eaed74f
870	c	true	408	1	17932	11	14	2225	0xa11a7d7c34d45f
870	d	true	408	1	20900	11	12	2217	0xa11a7d7c34d45f
885	a	true	415	0	20832	11	16	2260	0x846528e424697a
885	b	true	415	0	29344	12	14	2305	0x846528e424697a
885	c	true	415	0	32688	11	12	2286	0x846528e424697a
885	d	true	415	0	20924	11	12	2271	0x846528e424697a
900	a	true	424	0	25580	12	16	2305	0xe9f4c3be06c881
900	b	true	422	2	18672	10	17	2339	0x0727556a1e8e70
900	c	true	424	0	27792	11	16	2331	0xe9f4c3be06c881
900	d	true	424	0	21260	11	12	2316	0xe9f4c3be06c881
915	a	true	429	0	21144	12	16	2333	0xff5751be8d76cd
915	b	true	429	0	24580	11	14	2377	0xff5751be8d76cd
915	c	true	429	0	23160	11	15	2359	0xff5751be8d76cd
915	d	true	429	0	21272	11	12	2343	0xff5751be8d76cd
930	a	true	435	0	32424	12	15	2369	0x021aecdc65c99d
930	b	true	435	0	31480	11	13	2413	0x021aecdc65c99d
930	c	true	435	0	20224	11	14	2396	0x021aecdc65c99d
930	d	true	435	0	21520	12	11	2380	0x021aecdc65c99d
945	a	true	444	0	21416	12	15	2417	0xb2be05dd8aff47
945	b	true	444	0	37816	11	16	2461	0xb2be05dd8aff47
945	c	true	444	0	25460	12	15	2443	0xb2be05dd8aff47
945	d	true	444	0	21912	12	12	2428	0xb2be05dd8aff47
960	a	true	452	0	36028	11	15	2456	0xba7204a19b2c74
960	b	true	452	0	29024	11	13	2500	0xba7204a19b2c74
960	c	true	452	0	26452	12	14	2482	0xba7204a19b2c74
960	d	true	452	0	22012	12	11	2467	0xba7204a19b2c74
975	a	true	460	0	21384	12	15	2497	0x38fcfa9f7244b7
975	b	true	460	0	26888	11	13	2541	0x38fcfa9f7244b7
975	c	true	460	0	23744	11	14	2524	0x38fcfa9f7244b7
975	d	true	460	0	22032	12	11	2508	0x38fcfa9f7244b7
990	a	true	467	0	32840	12	16	2538	0xfb9c74ec0520a9
990	b	true	467	0	21620	12	15	2582	0xfb9c74ec0520a9
990	c	true	467	0	24624	11	15	2565	0xfb9c74ec0520a9
990	d	true	467	0	22044	12	12	2549	0xfb9c74ec0520a9
1005	a	true	474	0	28888	12	15	2577	0xdb98203d18cafe
1005	b	true	474	0	24100	12	15	2621	0xdb98203d18cafe
1005	c	true	474	0	26572	11	15	2603	0xdb98203d18cafe
1005	d	false	0	0	0	0	0	2588	
1020	a	true	480	0	21796	12	16	2613	0xa616d056df5529
1020	b	true	480	0	22136	12	16	2665	0xa616d056df5529
1020	c	true	480	0	32332	12	15	2639	0xa616d056df5529
1020	d	true	477	3	20400	11	12	2609	0x4fa1ec85c168ad
1035	a	true	486	0	18532	9	15	2648	0x8e89f3fd7d375a
1035	b	true	486	0	23292	12	17	2700	0x8e89f3fd7d375a
1035	c	true	486	0	21616	12	16	2674	0x8e89f3fd7d375a
1035	d	true	486	0	20532	11	13	2656	0x8e89f3fd7d375a
1050	a	true	494	0	28052	12	15	2691	0xfeb89d01b624f4
1050	b	true	494	0	22836	12	16	2743	0xfeb89d01b624f4
1050	c	true	492	2	20080	11	15	2706	0x80905a314d6a81
1050	d	true	494	0	21460	11	11	2699	0xfeb89d01b624f4
1065	a	true	498	0	21284	12	13	2720	0x7f0645c10fc36a
1065	b	true	498	0	26676	12	15	2772	0x7f0645c10fc36a
1065	c	true	498	0	26368	12	16	2752	0x7f0645c10fc36a
1065	d	true	498	0	21956	11	12	2728	0x7f0645c10fc36a
1080	a	true	504	0	37212	12	13	2755	0x66039163f3beae
1080	b	true	504	0	27200	12	15	2807	0x66039163f3beae
1080	c	true	504	0	24200	11	15	2789	0x66039163f3beae
1080	d	true	504	0	22020	11	12	2764	0x66039163f3beae
1095	a	true	510	1	22536	12	16	2787	0x35f1371b15d016
1095	b	true	511	0	45136	12	16	2847	0x32155c28710200
1095	c	true	510	1	22092	11	17	2821	0x35f1371b15d016
1095	d	true	510	1	22296	11	12	2796	0x35f1371b15d016
1110	a	true	520	0	33116	11	16	2844	0x815164db775063
1110	b	true	520	0	30960	12	17	2893	0x815164db775063
1110	c	true	519	1	26644	12	16	2874	0x39bbb39fc371aa
1110	d	true	520	0	22712	11	12	2852	0x815164db775063
1125	a	true	524	0	23088	12	13	2868	0x33b5c4bf151f2a
1125	b	true	524	0	23324	12	15	2917	0x33b5c4bf151f2a
1125	c	true	524	0	20116	9	15	2902	0x33b5c4bf151f2a
1125	d	true	524	0	22760	11	12	2877	0x33b5c4bf151f2a
1140	a	true	528	2	19664	9	15	2894	0xd23c19ae13bb36
1140	b	true	530	0	23016	12	16	2956	0xb32503af7dca06
1140	c	true	530	0	26472	12	16	2941	0xb32503af7dca06
1140	d	true	530	0	22580	11	12	2916	0xb32503af7dca06
1155	a	true	537	0	35252	11	14	2941	0xd5a758fa2f0466
1155	b	true	537	0	30960	12	15	2991	0xd5a758fa2f0466
1155	c	true	537	0	24576	11	16	2977	0xd5a758fa2f0466
1155	d	true	537	0	22400	11	12	2951	0xd5a758fa2f0466
1170	a	true	544	0	26668	11	15	2982	0x3e86c37fb01447
1170	b	true	544	0	23780	12	16	3032	0x3e86c37fb01447
1170	c	true	544	0	31116	11	14	3023	0x3e86c37fb01447
1170	d	true	544	0	22148	11	12	2990	0x3e86c37fb01447
1185	a	true	550	0	29884	11	16	3016	0xda732ac474944e
1185	b	true	550	0	33624	12	16	3070	0xda732ac474944e
1185	c	true	550	0	19668	10	15	3057	0xda732ac474944e
1185	d	true	550	0	22924	11	13	3025	0xda732ac474944e
1200	a	true	556	0	23712	12	15	3062	0x3f63b6df77e686
1200	b	true	556	0	30536	12	17	3107	0x3f63b6df77e686
1200	c	true	556	0	24720	11	16	3104	0x3f63b6df77e686
1200	d	true	555	1	23188	11	11	3059	0x3378c4b3b71b2c
1215	a	true	560	0	31728	12	15	3087	0xa230904f851099
1215	b	true	560	0	37592	12	14	3132	0xa230904f851099
1215	c	true	560	0	34564	12	14	3129	0x8e7e2433233291
1215	d	true	560	0	23584	11	11	3087	0xa230904f851099
1230	a	true	566	0	33256	12	15	3125	0xed264827770666
1230	b	true	566	0	39180	12	15	3169	0xed264827770666
1230	c	true	566	0	31544	12	13	3169	0xed264827770666
1230	d	true	566	0	23308	11	12	3126	0xed264827770666
1245	a	true	571	0	20976	11	15	3157	0x2403a35ff5976a
1245	b	true	571	0	21436	11	15	3201	0x2403a35ff5976a
1245	c	true	571	0	33896	12	15	3201	0x2403a35ff5976a
1245	d	true	571	0	23328	11	13	3158	0x2403a35ff5976a
1260	a	true	578	0	35696	12	18	3202	0x0f92ab2c5d986a
1260	b	true	578	0	22792	11	17	3245	0x0f92ab2c5d986a
1260	c	true	578	0	31276	12	16	3245	0x0f92ab2c5d986a
1260	d	true	578	0	23356	11	12	3202	0x0f92ab2c5d986a
1275	a	true	583	0	33820	12	17	3233	0xd66da4b47506b2
1275	b	true	583	0	23312	12	16	3277	0xd66da4b47506b2
1275	c	true	583	0	24024	12	15	3277	0xd66da4b47506b2
1275	d	true	583	0	21012	11	12	3234	0xd66da4b47506b2
1290	a	true	589	0	29860	11	16	3266	0x77b896ab2f6984
1290	b	true	589	0	31336	12	16	3310	0x77b896ab2f6984
1290	c	true	589	0	40060	12	17	3310	0x77b896ab2f6984
1290	d	true	589	0	22100	11	12	3267	0x77b896ab2f6984
1305	a	true	594	0	30424	12	16	3295	0x912305f21bb5ff
1305	b	true	594	0	33088	12	15	3339	0x912305f21bb5ff
1305	c	true	594	0	32912	12	13	3338	0x912305f21bb5ff
1305	d	true	594	0	22888	11	12	3295	0x912305f21bb5ff
1320	a	true	601	0	23056	12	18	3342	0x0514e64d304bad
1320	b	true	601	0	28236	12	17	3385	0x0514e64d304bad
1320	c	true	601	0	25328	12	15	3385	0x0514e64d304bad
1320	d	true	601	0	23160	11	12	3342	0x0514e64d304bad
1335	a	true	605	0	30868	12	16	3366	0x88f3b8a91406e8
1335	b	true	605	0	26604	12	16	3410	0x88f3b8a91406e8
1335	c	true	604	1	20592	10	15	3404	0x6bf1a96aaeacc5
1335	d	true	605	0	23364	11	13	3367	0x88f3b8a91406e8
1350	a	true	607	0	24024	12	15	3390	0xa50960ef8faae7
1350	b	true	607	0	22340	11	16	3433	0xa50960ef8faae7
1350	c	true	607	0	33836	11	15	3433	0xa50960ef8faae7
1350	d	true	607	0	23460	11	12	3390	0xa50960ef8faae7
1365	a	true	610	0	23696	12	16	3410	0xbad95396251f86
1365	b	true	610	0	22328	11	16	3454	0xbad95396251f86
1365	c	true	610	0	23240	12	15	3454	0xbad95396251f86
1365	d	true	610	0	20080	10	12	3411	0xbad95396251f86
1380	a	true	614	0	23684	12	14	3446	0xb91e3ed98c070f
1380	b	true	614	0	22556	12	15	3490	0xb91e3ed98c070f
1380	c	true	614	0	37780	12	15	3489	0xb91e3ed98c070f
1380	d	true	614	0	22388	11	12	3446	0xb91e3ed98c070f
1395	a	true	617	0	23328	12	16	3463	0x943ba13b4d75fa
1395	b	true	617	0	35828	12	16	3514	0x943ba13b4d75fa
1395	c	true	617	0	29580	12	15	3506	0x943ba13b4d75fa
1395	d	true	617	0	22336	11	13	3470	0x943ba13b4d75fa
